Date,Change in cases,Recent cases,Recent cases % of cases,Total cases,"Total cases  per 100,000",Total hospitalized,Total hospitalized % of cases,Total deaths,Total deaths % of cases,New tests,Daily % positive,Total tests,"Total tests  tests per 100,000"
"November 1, 2020",948,11869,15.3,77655,522.4,6040,7.8,3152,4.1,27908,4.0,5144369,522.4
"November 2, 2020",1050,12237,15.5,78705,529.5,6070,7.7,3166,4,25279,4,5169648,529.5
"November 3, 2020",987,12493,15.7,79692,536.1,6126,7.7,3182,4,28567,3.7,5198215,536.1
"November 4, 2020",998,12732,15.8,80690,542.8,6159,7.6,3195,4,35754,3.3,5233969,542.8
"November 5, 2020",1003,12945,15.8,81693,549.6,6201,7.6,3209,3.9,41268,3.7,5275237,549.6
"November 6, 2020",1132,13063,15.8,82825,557.2,6229,7.5,3220,3.9,39165,3.5,5314402,557.2
"November 7, 2020",1328,13106,15.6,84153,566.1,6266,7.4,3223,3.8,37577,4.2,5351979,566.1
"November 8, 2020",1242,13356,15.6,85395,574.5,6304,7.4,3245,3.8,28401,5,5380380,574.5
"November 9, 2020",1388,13666,15.7,86783,583.8,6335,7.3,3260,3.8,29125,5.7,5409505,583.8
"November 10, 2020",1426,13951,15.8,88209,593.4,6365,7.2,3275,3.7,36707,5.1,5446212,593.4
"November 11, 2020",1575,14393,16,89784,604,6434,7.2,3293,3.7,39559,4.3,5485771,604
"November 12, 2020",1396,14928,16.4,91180,613.4,6466,7.1,3312,3.6,40509,4.5,5526280,613.4
"November 13, 2020",1581,15644,16.9,92761,624,-,-,3332,3.6,44837,4.2,5571117,624
"November 14, 2020",1248,16193,17.2,94009,632.4,6561,7,3361,3.6,42206,3.8,5613323,632.4
"November 15, 2020",1487,16886,17.7,95496,642.4,6619,6.9,3371,3.5,33351,4.1,5646674,642.4
"November 16, 2020",1249,17238,17.8,96745,650.8,6669,6.9,3383,3.5,26468,6.1,5673142,650.8
"November 17, 2020",1417,17755,18.1,98162,660.4,6741,6.9,3415,3.5,33440,4.5,5706582,660.4
"November 18, 2020",1210,17934,18,99372,668.5,6803,6.8,3443,3.5,41838,4.1,5748420,668.5
"November 19, 2020",1418,18349,18.2,100790,678.1,6847,6.8,3451,3.4,48173,3.6,5796593,678.1
"November 20, 2020",1588,18703,18.3,102378,688.7,6891,6.7,3472,3.4,46671,4.3,5843264,688.7
"November 21, 2020",1534,19303,18.6,103912,699.1,6942,6.7,3486,3.4,46389,3.8,5889653,699.1
"November 22, 2020",1589,19476,18.5,105501,709.8,6984,6.6,3505,3.3,37471,4.6,5927124,709.8
"November 23, 2020",1009,19768,18.6,106510,716.5,7011,6.6,3519,3.3,27053,5.8,5954177,716.5
"November 24, 2020",1373,19969,18.5,107883,725.8,7062,6.5,3554,3.3,36076,4.7,5990253,725.8
"November 25, 2020",1478,20100,18.4,109361,735.7,7145,6.5,3575,3.3,47576,3.9,6037829,735.7
"November 26, 2020",1855,20184,18.1,111216,748.2,7214,6.5,3595,3.2,58037,3.7,6095866,748.2
"November 27, 2020",1822,19971,17.7,113038,760.5,7287,6.4,3624,3.2,55086,3.4,6150952,760.5
"November 28, 2020",1708,20046,17.5,114746,772,7393,6.4,3648,3.2,53959,3.7,6204911,772
